domain	strict	balanced	reward_block	source
5nbh3-h9cpz.ads.tremorhub.com	1	1	0	Wei.G
6.adsco.re	1	1	0	Wei.G
6063.bapi.adsafeprotected.com	1	1	0	Wei.G
61-nmobads.com	1	1	0	Wei.G
631.dlads.cn	1	1	0	Wei.G
66926e18fb422e99217bead821bfa976.groupsorlink.com	1	1	0	Wei.G
69c4f21c8ed8f25ad092332d--sunny-youtiao-11fcd4.netlify.app	1	1	0	Wei.G
6ab77a3dad.com	1	1	0	Wei.G
6abafad197.vouch40.one	1	1	0	Wei.G
6gtest.bj2cu.u3.ucweb.com	1	1	0	Wei.G
6psex-axuft.ads.tremorhub.com	1	1	0	Wei.G
6psex-fm1gy.ads.tremorhub.com	1	1	0	Wei.G
6psex-sootr.ads.tremorhub.com	1	1	0	Wei.G
789.mobi	1	1	0	Wei.G
79423.analytics.edgekey.net	1	1	0	Wei.G
79t2.admaster.com.cn	1	1	0	Wei.G
7gtest.bj2cu.u3.ucweb.com	1	1	0	Wei.G
7r29uu.vyk.admaster.com.cn	1	1	0	Wei.G
7r3cna.viqiyi.admaster.com.cn	1	1	0	Wei.G
7r76oa.vyk.admaster.com.cn	1	1	0	Wei.G
7r8a9a.viqiyi.admaster.com.cn	1	1	0	Wei.G
822.dlads.cn	1	1	0	Wei.G
868vip.mobi	1	1	0	Wei.G
8b253a.vyk.admaster.com.cn	1	1	0	Wei.G
8b26nu.viqiyi.admaster.com.cn	1	1	0	Wei.G
8b4pea.c.admaster.com.cn	1	1	0	Wei.G
8b6dfa.v.admaster.com.cn	1	1	0	Wei.G
8b6fqu.vyk.admaster.com.cn	1	1	0	Wei.G
8b6fxa.viqiyi.admaster.com.cn	1	1	0	Wei.G
8b8a4a.viqiyi.admaster.com.cn	1	1	0	Wei.G
8b8a6a.vsohu.admaster.com.cn	1	1	0	Wei.G
8b8a7u.vyk.admaster.com.cn	1	1	0	Wei.G
8c8vqu.vyk.admaster.com.cn	1	1	0	Wei.G
8cayca.viqiyi.admaster.com.cn	1	1	0	Wei.G
8cayga.vsohu.admaster.com.cn	1	1	0	Wei.G
8cbbwu.vsohu.admaster.com.cn	1	1	0	Wei.G
8cc6au.viqiyi.admaster.com.cn	1	1	0	Wei.G
8cc6bu.viqiyi.admaster.com.cn	1	1	0	Wei.G
8ccxfa.viqiyi.admaster.com.cn	1	1	0	Wei.G
8cd9gu.viqiyi.admaster.com.cn	1	1	0	Wei.G
